Session,Group,Recording Path,Model,BER
printer,p102,/media/storage/hadleigh/stegaphone_data/final_rec//p102/timbre/sample_7/watermarked_printer_recording_iPhone_Microphone.wav,timbre,0.6333
printer,p102,/media/storage/hadleigh/stegaphone_data/final_rec//p102/timbre/sample_7/watermarked_printer_recording_Fifine_USB_PnP_Audio_Device.wav,timbre,0.6333
printer,p102,/media/storage/hadleigh/stegaphone_data/final_rec//p102/timbre/sample_7/watermarked_printer_recording_USB_Lavalier_Microphone.wav,timbre,0.5667
printer,p102,/media/storage/hadleigh/stegaphone_data/final_rec//p102/timbre/sample_7/watermarked_printer_recording_Yeti_Stereo_Microphone.wav,timbre,0.6333
printer,p102,/media/storage/hadleigh/stegaphone_data/final_rec//p102/timbre/sample_2/watermarked_printer_recording_iPhone_Microphone.wav,timbre,0.5000
printer,p102,/media/storage/hadleigh/stegaphone_data/final_rec//p102/timbre/sample_2/watermarked_printer_recording_Fifine_USB_PnP_Audio_Device.wav,timbre,0.5000
printer,p102,/media/storage/hadleigh/stegaphone_data/final_rec//p102/timbre/sample_2/watermarked_printer_recording_USB_Lavalier_Microphone.wav,timbre,0.4333
printer,p102,/media/storage/hadleigh/stegaphone_data/final_rec//p102/timbre/sample_2/watermarked_printer_recording_Yeti_Stereo_Microphone.wav,timbre,0.3333
printer,p102,/media/storage/hadleigh/stegaphone_data/final_rec//p102/timbre/sample_3/watermarked_printer_recording_iPhone_Microphone.wav,timbre,0.5000
printer,p102,/media/storage/hadleigh/stegaphone_data/final_rec//p102/timbre/sample_3/watermarked_printer_recording_Fifine_USB_PnP_Audio_Device.wav,timbre,0.4000
printer,p102,/media/storage/hadleigh/stegaphone_data/final_rec//p102/timbre/sample_3/watermarked_printer_recording_USB_Lavalier_Microphone.wav,timbre,0.4667
printer,p102,/media/storage/hadleigh/stegaphone_data/final_rec//p102/timbre/sample_3/watermarked_printer_recording_Yeti_Stereo_Microphone.wav,timbre,0.4000
printer,p102,/media/storage/hadleigh/stegaphone_data/final_rec//p102/timbre/sample_5/watermarked_printer_recording_iPhone_Microphone.wav,timbre,0.4667
printer,p102,/media/storage/hadleigh/stegaphone_data/final_rec//p102/timbre/sample_5/watermarked_printer_recording_Fifine_USB_PnP_Audio_Device.wav,timbre,0.5000
printer,p102,/media/storage/hadleigh/stegaphone_data/final_rec//p102/timbre/sample_5/watermarked_printer_recording_USB_Lavalier_Microphone.wav,timbre,0.4667
